Feature,Instance,LocX,LocY,Checkin
A,1,831343.52,947410.22,1563
A,1,831343.52,947410.22,1563
A,2,551202.93,516241.89,530
A,2,551202.93,516241.89,530
A,3,894826.7,1053117.77,1605
A,3,894826.7,1053117.77,1605
A,4,1019523.22,971495.03,360
A,4,1019523.22,971495.03,360
A,5,838378.03,745337.33,1597
A,5,838378.03,745337.33,1597
A,6,788513.9,846110.86,2831
A,6,788513.9,846110.86,2831
A,7,720110.13,914341.06,2533
A,7,720110.13,914341.06,2533
A,8,636681.74,513461.37,142
A,8,636681.74,513461.37,142
A,9,946142.06,777609.47,5395
A,9,946142.06,777609.47,5395
A,10,855582.27,1022150.54,1493
A,10,855582.27,1022150.54,1493
A,11,882686.72,920438.9,2726
A,11,882686.72,920438.9,2726
A,12,882675.58,945025.45,24
A,12,882675.58,945025.45,24
A,13,989449.48,938769.25,1286
A,13,989449.48,938769.25,1286
A,14,1019034.27,1017348.77,12106
A,14,1019034.27,1017348.77,12106
A,15,648424.11,981927.32,1348
A,15,648424.11,981927.32,1348
A,16,765675.15,812136.92,735
A,16,765675.15,812136.92,735
A,17,988241.05,921308.49,1006
A,17,988241.05,921308.49,1006
A,18,1056809.66,873346.49,4105
A,18,1056809.66,873346.49,4105
A,19,442436.52,1099608.15,3963
A,19,442436.52,1099608.15,3963
A,20,813151.37,870221.67,2384
A,20,813151.37,870221.67,2384
A,21,764037.92,756577.27,4347
A,21,764037.92,756577.27,4347
A,22,885514.56,639402.99,264
A,22,885514.56,639402.99,264
A,23,1168979.72,910385.67,207
A,23,1168979.72,910385.67,207
A,24,878706.14,938065.93,2482
A,24,878706.14,938065.93,2482
A,25,630145.09,641772.6,1934
A,25,630145.09,641772.6,1934
A,26,547149.96,803062.32,3076
A,26,547149.96,803062.32,3076
A,27,851334.39,713242.23,1364
A,27,851334.39,713242.23,1364
A,28,847470.76,733823.44,763
A,28,847470.76,733823.44,763
A,29,864178.26,757889.05,1340
A,29,864178.26,757889.05,1340
A,30,1054037.51,1042883.6,4748
A,30,1054037.51,1042883.6,4748
A,31,669127.79,488146.74,3917
A,31,669127.79,488146.74,3917
A,32,497280.26,539839.35,1696
A,32,497280.26,539839.35,1696
A,33,879943.53,952190.86,1495
A,33,879943.53,952190.86,1495
A,34,923224.23,791684.79,3574
A,34,923224.23,791684.79,3574
A,35,726711.38,805727.28,6904
A,35,726711.38,805727.28,6904
A,36,682336.98,795290.41,439
A,36,682336.98,795290.41,439
